Executing windows.dlllist...
Volatility 3 Framework 2.7.0

PID	Process	Base	Size	Name	Path	LoadTime	File output

236	smss.exe	0x47660000	0x13000	smss.exe	\SystemRoot\System32\smss.exe	N/A	Disabled
236	smss.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
308	csrss.exe	0x49df0000	0x5000	csrss.exe	C:\Windows\system32\csrss.exe	N/A	Disabled
308	csrss.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
308	csrss.exe	0x75970000	0xd000	CSRSRV.dll	C:\Windows\system32\CSRSRV.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75960000	0xe000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75930000	0x2c000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x76650000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x761f0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75d00000	0xd5000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75c60000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x77ab0000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x76720000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x76140000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75920000	0xa000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75830000	0x5f000	sxs.dll	C:\Windows\system32\sxs.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x77ac0000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x75820000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2022-11-15 05:25:18.000000 	Disabled
308	csrss.exe	0x77870000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2022-11-14 20:25:21.000000 	Disabled
308	csrss.exe	0x76a10000	0x19000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2022-11-14 20:25:21.000000 	Disabled
344	wininit.exe	0x8d0000	0x1a000	wininit.exe	C:\Windows\system32\wininit.exe	N/A	Disabled
344	wininit.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
344	wininit.exe	0x75d00000	0xd5000	kernel32.dll	C:\Windows\system32\kernel32.dll	2022-11-15 05:25:18.000000 	Disabled
